site,year,cinput_total,dfac,kA,SS_active,soc_active,kS,SS_slow,soc_slow,kP,SS_passive,soc_passive,soc_total,soc_total_tha,soc_delta,stringsAsFactors,SampleID,tillfac_FT,k40,f1,f6,tmax,topt,Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,block,treatment_number,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,crop_rotation,rotation_seq,crop_seq,straw_returned,biomass_returned_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,reference,flag,theme,simple_trt_name,crop_rotation_code,TrtID,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION,crop,ICASA_code,AAFC_code,grain_yield_kgha,crop_residue_kgha,hay_yield_kgha,hay_residue_kgha,root_biomass_kgha,straw_biomass_kgha,silage_yld_kgha,crop_residue_avg_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,manure_kgha,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,lowest_depth,soc_tha_lowest_depth,initial_dsm,lowest_depth_difference,first_soc_treatment,soc_dsm_difference,soc_tha_30cm
727006,1983,1384.891304,0.5110584848155831,2.3001476316072473,444.16432143292747,444.16432143292747,0.08860056644201847,7962.97571622415,1305.0637064148098,0.003521192960379368,48102.957543685385,10427.50547921294,12176.733507060677,121.76733507060678,1155.7335070606769,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1983,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,1348.043478,1384.891304,NA,NA,601.2456522,1384.891304,NA,NA,NA,601.2456522,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,110.21,131.9,10,110.21,21.690000000000012,131.9
727006,1984,2102.73,0.5546514632033469,2.4963488276983434,621.3866699896082,621.3866699896082,0.09615814095219274,11140.217088012645,2250.7937715689295,0.0038215485814710602,67296.12254377322,10644.831662086232,13517.012103644769,135.17012103644768,1340.2785965840922,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1984,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2809.065,2102.73,NA,NA,1080.5949,2102.73,NA,NA,NA,1080.5949,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1985,2357.455,0.48630406229537426,2.188734108452045,794.5735402863,794.5735402863,0.08430897179600257,14245.110425893385,3262.0222760906936,0.003350634989215129,86052.24559780271,10897.494381665472,14954.090198042466,149.54090198042465,1437.078094397697,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1985,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2929.5,2357.455,NA,NA,1163.1301,2357.455,NA,NA,NA,1163.1301,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1986,2478.14,0.5920704183647699,2.6647622747871305,686.0425609298088,686.0425609298088,0.10264534490531158,12299.36757494657,4189.663701320151,0.004079365182533265,74298.34993297895,11156.129624344321,16031.835886594281,160.31835886594283,1077.745688551815,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1986,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2431.485,2478.14,NA,NA,1080.1175,2478.14,NA,NA,NA,1080.1175,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1987,1567.95,0.5893115065199497,2.6523450960605777,436.09978559489457,436.09978559489457,0.10216704122877078,7818.394758362198,4560.400416833087,0.0040603562799224535,47229.56901086734,11302.600640495792,16299.100842923774,162.99100842923775,267.26495632949263,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1987,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,1706.3525,1567.95,NA,NA,720.34655,1567.95,NA,NA,NA,720.34655,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1988,2668.75,0.5849462280574157,2.6326980591455618,747.8087322855314,747.8087322855314,0.1014102469362404,13406.711183733096,5457.506976179138,0.004030279511315594,80987.62094145408,11583.450750060356,17788.766458525024,177.88766458525023,1489.6656156012505,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1988,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2805.775,2668.75,NA,NA,1204.3955,2668.75,NA,NA,NA,1204.3955,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1989,1619.325,0.5598131089132545,2.5195801163034504,474.12138183895377,474.12138183895377,0.09705299887405243,8500.045744210782,5752.794487807174,0.003857112320412324,51347.30459118298,11736.824400618025,17963.740270264152,179.63740270264154,174.973811739128,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1989,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,1518.025,1619.325,NA,NA,690.217,1619.325,NA,NA,NA,690.217,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1990,2697.025,0.4692912709726262,2.1121637494212813,941.9786955054556,941.9786955054556,0.08135951886108207,16887.789305794457,6658.732308719262,0.0032334168570013946,102016.21114179825,12028.735291546705,19629.44629577142,196.29446295771422,1665.7060255072684,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1990,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2690.825,2697.025,NA,NA,1185.327,2697.025,NA,NA,NA,1185.327,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1991,2503.26087,0.5899751390484547,2.65533194166446,695.4581229240198,695.4581229240198,0.10228209306663646,12468.169722927802,7252.93372698414,0.0040649287080438525,75318.05448150348,12286.00186203451,20234.39371194267,202.3439371194267,604.9474161712496,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1991,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2674.891304,2503.26087,NA,NA,1139.193478,2503.26087,NA,NA,NA,1139.193478,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
727006,1992,2504.525,0.5246419469266027,2.3612834294307836,782.4578371058153,782.4578371058153,0.09095548759691197,14027.900160332361,7869.154102382039,0.003614783014324293,84740.11599265444,12547.907763111789,21199.519702599646,211.99519702599648,965.1259906569758,FALSE,1,1.6111516957636922,0.10760425937653054,0.5332678104663501,0.11626713862642647,49.35660556261428,32.491294759809975,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,14,1,27,1992,1983,2009,CT,NA,CONT_BAR,NA,NA,yes,NA,est_equation,NA,NA,NA,NA,NA,Malhi et al. 2011b,NA,cpr,NA,CR1,E1_F0S_CT_CR1,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,727006,AB,AB_3,BAR,BAR,BARLEY,2543.325,2504.525,NA,NA,1110.527,2504.525,NA,NA,NA,1110.527,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,131.9,10,110.21,21.690000000000012,NA
